Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
drones_instance-24_network_3_deadline_12_corrsize_3,drones,24,3,1,3,12,3,1.692115621675479,0.5074828450672418,0.5282,40,0.9462,0.9486,0.9486,0.9306993122629159,0.9451124532210707,0.9459840083062067,0.2624797821044922,0.2871718406677246,0.6773653030395508
drones_instance-24_network_3_deadline_12_corrsize_4,drones,24,3,1,3,12,3,54.198248159001764,0.005361307115900983,0.7919,40,0.4525,0.4466,0.4621,0.24739514887175706,0.3059434493491095,0.46544590615558107,0.2605936527252197,0.330005407333374,28.124489068984985
drones_instance-24_network_3_deadline_13_corrsize_2,drones,24,3,1,3,13,2,15.516675662244287,0.7049059079431811,0.5173,40,nan,0.0323,0.0328,nan,0.04177729741259154,0.03134466686222943,nan,0.45404791831970215,1.6267201900482178
drones_instance-24_network_3_deadline_13_corrsize_3,drones,24,3,1,3,13,3,35.45591648375418,0.2530329590005219,0.7841,40,0.4833,0.4846,0.4846,0.43426951587443974,0.4919848115600513,0.4870100132205313,0.265716552734375,0.24869322776794434,0.720595121383667
drones_instance-24_network_3_deadline_13_corrsize_4,drones,24,3,1,3,13,3,8.216340290678009,0.08669645864891526,0.773,40,0.9704,0.9735,0.9739,0.9596111896466917,0.9682718818608784,0.9724252384360262,0.28232812881469727,0.32462000846862793,3.3252792358398438
drones_instance-24_network_3_deadline_14_corrsize_2,drones,24,3,1,3,14,2,37.586279776915084,0.9915814656484776,0.0721,40,0.8407,0.842,0.842,0.8058573971926518,0.8399946240777562,0.8389832372399623,0.3650946617126465,0.2886538505554199,0.4974219799041748
drones_instance-24_network_3_deadline_14_corrsize_3,drones,24,3,1,3,14,3,28.614985256021296,0.43272214902439016,0.5236,40,0.9875,0.9899,0.9899,0.9861401133752468,0.9885751153467277,0.9886301759289747,0.262190580368042,0.30487990379333496,2.4349825382232666
drones_instance-24_network_3_deadline_14_corrsize_4,drones,24,3,1,3,14,3,23.416683640741432,0.8061894696241626,0.293,40,0.8745,0.8795,0.8789,0.848895172985424,0.8784790442328881,0.8789516271016973,0.27852725982666016,0.3310127258300781,0.6933560371398926
drones_instance-24_network_4_deadline_10_corrsize_2,drones,24,3,1,4,10,2,13.20848085986418,0.5756528961931382,0.57,40,nan,0.0373,0.0427,nan,0.0882556731288427,0.04328708529900096,nan,0.45363330841064453,0.7803564071655273
drones_instance-24_network_4_deadline_10_corrsize_3,drones,24,3,1,4,10,3,5.162357704648146,0.06933083418084485,0.7391,40,0.7706,0.7773,0.7842,0.6945887256729989,0.7425325994176684,0.782910207868568,0.2859375476837158,0.37698912620544434,10.861578464508057
drones_instance-24_network_4_deadline_11_corrsize_2,drones,24,3,1,4,11,2,18.388557310237413,0.020941849466304428,0.9881,40,0.8477,0.8498,0.8498,0.8013190934540388,0.836196747147268,0.8431793496049675,0.2681305408477783,0.3111438751220703,0.4362938404083252
